card_name,set_id,card_number,binder_name,page_number,slot_number
Alakazam,base0,1,0,1,1
Blastoise,base0,2,0,1,2
Chansey,base0,3,0,1,3
Charizard,base0,4,0,1,4
Clefairy,base0,5,0,1,5
Gyarados,base0,6,0,1,6
Hitmonchan,base0,7,0,1,7
Machamp,base0,8,0,1,8
Magneton,base0,9,0,1,9
Mewtwo,base0,10,0,1,10
Nidoking,base0,11,0,1,11
Ninetales,base0,12,0,1,12
Poliwrath,base0,13,0,1,13
Raichu,base0,14,0,1,14
Venusaur,base0,15,0,1,15
Zapdos,base0,16,0,1,16
Beedrill,base0,17,0,2,1
Dragonair,base0,18,0,2,2
Dugtrio,base0,19,0,2,3
Electabuzz,base0,20,0,2,4
Electrode,base0,21,0,2,5
Pidgeotto,base0,22,0,2,6
Arcanine,base0,23,0,2,7
Charmeleon,base0,24,0,2,8
Dewgong,base0,25,0,2,9
Dratini,base0,26,0,2,10
Farfetch'd,base0,27,0,2,11
Growlithe,base0,28,0,2,12
Haunter,base0,29,0,2,13
Ivysaur,base0,30,0,2,14
Jynx,base0,31,0,2,15
Kadabra,base0,32,0,2,16
Kakuna,base0,33,0,2,17
Machoke,base0,34,0,2,18
Magikarp,base0,35,0,2,19
Magmar,base0,36,0,2,20
Nidorino,base0,37,0,2,21
Poliwhirl,base0,38,0,2,22
Porygon,base0,39,0,2,23
Raticate,base0,40,0,2,24
Seel,base0,41,0,2,25
Wartortle,base0,42,0,2,26
